beta_norm_mean,Market Sharpe Ratio,Expected Return,Volatility,R2,SR,IR,Alpha,Precision,Recall,Accuracy,hidden_dims,train_window,num_hidden_layers,dropout
3.5884812652919136,0.6361514499216313,0.8674400883691964,2.2767638627505398,-0.2052911913746449,0.38099695034743264,0.18886941179053238,0.03583425429530291,0.6143437077131259,0.699537750385208,0.5604395604395604,32,12,1,0.1
5.01043184035025,0.6361514499216313,0.6310100748512049,2.6790719358153234,-0.34239095075291437,0.2355330838323194,0.06206530683156505,0.013856451810017753,0.6157082748948106,0.6764252696456087,0.5567765567765568,64,12,1,0.1
7.027015895160171,0.6361514499216313,0.598845433412516,2.956983394936092,-0.46755265832241966,0.20251903830033463,0.06540627521829316,0.016117105812092747,0.6193921852387844,0.6594761171032357,0.5567765567765568,128,12,1,0.1
3.528981673916976,0.6724513096819876,0.7785900558153565,1.7656287923872787,-0.09803037742860177,0.44097041188518293,0.1855150591963644,0.027295894161544286,0.6151898734177215,0.759375,0.5711610486891385,32,36,1,0.1
4.928452784982017,0.6724513096819876,0.8260408964493956,1.8346355180412752,-0.12486713243404668,0.45024795842353876,0.2018345213389804,0.030857731801279424,0.6085219707057257,0.7140625,0.5533707865168539,64,36,1,0.1
6.916721392081388,0.6724513096819876,0.8702354484715312,2.0547563643475217,-0.16666794356660897,0.42352244945977835,0.18565154698801642,0.03178905814371581,0.6150740242261103,0.7140625,0.5608614232209738,128,36,1,0.1
3.6192287072591887,0.6781657446624461,0.8714685933094755,1.7098755645801718,-0.08242563980904083,0.5096678444688157,0.21341076206135426,0.030408820605595237,0.6192893401015228,0.7770700636942676,0.578544061302682,32,60,1,0.1
5.047962234396372,0.6781657446624461,0.8755586222813034,1.769424948707919,-0.10273238443041177,0.49482665140483045,0.21096472707459057,0.031107187615261454,0.6164921465968587,0.75,0.5689655172413793,64,60,1,0.1
7.06685719080862,0.6781657446624461,0.8516694101167053,1.924207393480844,-0.13819912000298973,0.4426079085872632,0.17811976037613123,0.028561613320065654,0.6163101604278075,0.7340764331210191,0.5651340996168582,128,60,1,0.1
5.040085442372558,0.6361514499216313,0.7663000255094344,2.8022208479838393,-0.38851578844131307,0.2734616816732261,0.11900341151889857,0.027789486728288147,0.6205923836389281,0.6779661016949152,0.5622710622710623,32,12,2,0.1
7.060704745627097,0.6361514499216313,0.31545958818640407,3.2590385286868804,-0.6644097806612985,0.09679529266366417,-0.015891569553085728,-0.00431593645456781,0.606015037593985,0.6209553158705701,0.5347985347985348,64,12,2,0.1
9.906820021762554,0.6361514499216313,-0.016456597796255808,3.760431493053544,-0.99792055820266,-0.004376252519599215,-0.08699010403111467,-0.027260027231883966,0.6,0.5916795069337443,0.5228937728937729,128,12,2,0.1
4.93693501096834,0.6724513096819876,0.8581291194975669,1.9303332933180857,-0.13150512160537686,0.4445497171229497,0.2066417810501734,0.03324062581264133,0.6124837451235371,0.7359375,0.5627340823970037,32,36,2,0.1
6.892155480672351,0.6724513096819876,0.8742540279750779,2.084218307298688,-0.18922387846299205,0.4194637504687214,0.20890637928789393,0.036283875018609336,0.6134800550206327,0.696875,0.5552434456928839,64,36,2,0.1
9.672787028357472,0.6724513096819876,0.6274734995878499,2.3530682767570616,-0.3044222684462097,0.26666183288681183,0.08528520952568379,0.016723493417622137,0.6059322033898306,0.6703125,0.5411985018726592,128,36,2,0.1
5.055383454054686,0.6781657446624461,0.8795857585598514,1.8637870516044466,-0.1234949579030904,0.47193468685312384,0.19220824195239564,0.029852936046877457,0.6264900662251656,0.7531847133757962,0.5814176245210728,32,60,2,0.1
7.0667590455482605,0.6781657446624461,0.7695782759486887,2.079483208822596,-0.19800301767882833,0.370081505194949,0.11471907706465262,0.019879699540630874,0.6132075471698113,0.7245222929936306,0.5593869731800766,64,60,2,0.1
9.940035769354365,0.6781657446624461,0.7608121594614116,2.3548507081698413,-0.2810765923960521,0.32308296947312837,0.08618829352721509,0.01691338033737605,0.6135734072022161,0.7054140127388535,0.5555555555555556,128,60,2,0.1
7.035662692833235,0.6361514499216313,0.47001565568329573,3.0844871407367385,-0.5625698259951262,0.15238048798317608,0.024411149041587674,0.006274656275782095,0.6032689450222882,0.6255778120184899,0.532967032967033,32,12,4,0.1
9.765896715738636,0.6361514499216313,0.05781640960238494,3.510726595968083,-0.841678143411396,0.016468502465781465,-0.09443549344778827,-0.02762809987087666,0.5978428351309707,0.5978428351309707,0.521978021978022,64,12,4,0.1
13.625062228010176,0.6361514499216313,-0.026272556860399837,3.8340262384866186,-1.0398241312283214,-0.006852471847133274,-0.07383308959626282,-0.023589833565050414,0.6056782334384858,0.5916795069337443,0.5283882783882784,128,12,4,0.1
6.927589341074465,0.6724513096819876,0.8813091252180576,1.9980736148568696,-0.1797062207385025,0.4410794070173383,0.19314348689510633,0.03215957542054712,0.6124661246612466,0.70625,0.5561797752808989,32,36,4,0.1
9.622188454465897,0.6724513096819876,0.7775761588822554,2.1841781160020677,-0.23385328280221862,0.3560040058937754,0.1673230506296384,0.030455278790663516,0.6197991391678622,0.675,0.5571161048689138,64,36,4,0.1
13.481377401017106,0.6724513096819876,0.6901590468611816,2.444393548083038,-0.3143935354001488,0.28234367064273413,0.12730495361750901,0.025931950605137463,0.6070921985815603,0.66875,0.5421348314606742,128,36,4,0.1
7.045615463074482,0.6781657446624461,0.8466558855902538,2.011024930109898,-0.16970815686386498,0.4210071555622068,0.13924235098401438,0.023334986596330445,0.6101231190150479,0.7101910828025477,0.5526819923371648,32,60,4,0.1
9.77768787570392,0.6781657446624461,0.8410147196087601,2.1717793034629684,-0.21759767421066134,0.3872468617173653,0.13992375523900033,0.025323626307573247,0.6113416320885201,0.7038216560509554,0.5526819923371648,64,60,4,0.1
13.697993454406493,0.6781657446624461,0.7884615535480721,2.468871555905215,-0.308996947501295,0.31936110716743293,0.09259221195554163,0.01904985653294862,0.6116788321167883,0.6671974522292994,0.5450191570881227,128,60,4,0.1
9.850118840592451,0.6361514499216313,0.458977133423474,3.124721589595861,-0.5829740735962199,0.14688576894392574,0.008143112759615389,0.002120413353873647,0.6020710059171598,0.6271186440677966,0.532051282051282,32,12,8,0.1
13.627688058303763,0.6361514499216313,0.01879527185016401,3.3701588545933006,-0.7730381975822114,0.005576969116618142,-0.09760753083246068,-0.02741274035916716,0.5877862595419847,0.5932203389830508,0.510989010989011,64,12,8,0.1
19.03977971629421,0.6361514499216313,0.10052025717081806,3.6116146001316607,-0.8768055572030276,0.027832498286819864,-0.066935775591057,-0.02014551869964982,0.592948717948718,0.5701078582434514,0.5119047619047619,128,12,8,0.1
9.765924553271912,0.6724513096819876,0.8802375613414785,2.0272706550636723,-0.18111744202676516,0.43419834403602714,0.18433993448999114,0.031142244978993233,0.611336032388664,0.7078125,0.5552434456928839,32,36,8,0.1
13.533140593419818,0.6724513096819876,0.8568405289492639,2.1829808312748082,-0.2302798292968422,0.39250941495848574,0.19207740532303838,0.034941774495099547,0.6076487252124646,0.6703125,0.5430711610486891,64,36,8,0.1
18.940960423633317,0.6724513096819876,0.6818008435795279,2.359034238885223,-0.2882348286765082,0.28901693427803626,0.10994756594642431,0.021614172712475496,0.6107871720116618,0.6546875,0.5430711610486891,128,36,8,0.1
9.88100767961458,0.6781657446624461,0.9468108773745072,1.9485464638992784,-0.14949585721481262,0.485906235707525,0.21925746022595574,0.03560277906723523,0.6216596343178622,0.7038216560509554,0.564176245210728,32,60,8,0.1
13.682097499234887,0.6781657446624461,0.7477843346664163,2.1858591780167322,-0.24005128792235597,0.34210087373738957,0.11547032598869249,0.02103348932091395,0.6159420289855072,0.6767515923566879,0.5517241379310345,64,60,8,0.1
19.181589019734158,0.6781657446624461,0.8175722318605194,2.3735910060512584,-0.2840954280375767,0.3444452855509614,0.11047199621865803,0.021851278053761275,0.6144927536231884,0.6751592356687898,0.5498084291187739,128,60,8,0.1
3.5347255515114275,0.6361514499216313,0.8615781324053458,2.1565486618137877,-0.16483361128836682,0.39951713015402424,0.18768223869377929,0.033728823391773806,0.613965744400527,0.7180277349768875,0.5641025641025641,32,12,1,0.25
4.945484219898356,0.6361514499216313,0.7444437128273678,2.5380332531408305,-0.2838572786669471,0.2933151927407233,0.1238463589542966,0.02619384810886837,0.6126373626373627,0.687211093990755,0.5558608058608059,64,12,1,0.25
6.941481433464304,0.6361514499216313,0.6200495745586766,2.796174002869012,-0.396662818069625,0.22174928095407342,0.07023612052503662,0.016366034522873503,0.6098591549295774,0.6671802773497689,0.5485347985347986,128,12,1,0.25
3.500156953054249,0.6724513096819876,0.8198375332374457,1.6804322732471002,-0.08157201566397365,0.4878729992808774,0.21055120396978136,0.029484753193487798,0.6124031007751938,0.740625,0.5636704119850188,32,36,1,0.25
4.899891457000158,0.6724513096819876,0.8979404977334968,1.8295690899041088,-0.10198570704210264,0.49079343474290965,0.24147758953793044,0.03681666114359578,0.6206451612903225,0.7515625,0.5758426966292135,64,36,1,0.25
6.886016016738078,0.6724513096819876,0.8137606978020011,1.9357188255985556,-0.1520338273338364,0.4203919944573423,0.1947729661173759,0.031418808102589506,0.6123822341857336,0.7109375,0.5571161048689138,128,36,1,0.25
3.5620614107072264,0.6781657446624461,0.873065936271896,1.6201515865131855,-0.06502361188948358,0.5388791663321255,0.2397260808966333,0.03236604919110572,0.6171284634760705,0.7802547770700637,0.5766283524904214,32,60,1,0.25
4.9758602607191635,0.6781657446624461,0.8564317897960718,1.7802584621031414,-0.09872345770780022,0.481071601695582,0.1987498137124544,0.02948550314191832,0.6193548387096774,0.7643312101910829,0.5756704980842912,64,60,1,0.25
6.9853375097568735,0.6781657446624461,0.8402381971203705,1.8280050542442414,-0.12225168493954452,0.45964763345129434,0.17883001449983954,0.027241847529689805,0.6167979002624672,0.7484076433121019,0.5689655172413793,128,60,1,0.25
4.929957619657509,0.6361514499216313,0.7557859665792799,2.5152628322487507,-0.2773656406495464,0.30047991680598063,0.11095158295605982,0.02325603273237844,0.6105834464043419,0.6933744221879815,0.554945054945055,32,12,2,0.25
6.915119393859329,0.6361514499216313,0.5790887067674139,2.9768680096116324,-0.487319083109506,0.1945295205893132,0.04843262644028855,0.012014794689297129,0.6161616161616161,0.6579352850539292,0.5531135531135531,64,12,2,0.25
9.748935463127143,0.6361514499216313,0.2710045222184461,3.3577551784293087,-0.7371782018361479,0.08071003030817055,-0.02661848726774116,-0.007448196955434371,0.6075187969924812,0.6224961479198767,0.5366300366300366,128,12,2,0.25
4.876425265077664,0.6724513096819876,0.7986903703523164,1.7700087798377342,-0.11119078160664064,0.4512352590847241,0.1885605616035419,0.02781282079745026,0.6142857142857143,0.7390625,0.5655430711610487,32,36,2,0.25
6.839567713531489,0.6724513096819876,0.7533722513905226,1.9592209265200626,-0.1723598191555844,0.38452644170591344,0.15491279266803973,0.025292365431740606,0.6162162162162163,0.7125,0.5617977528089888,64,36,2,0.25
9.638015142135337,0.6724513096819876,0.7273102069238115,2.153805854814669,-0.23550435738506992,0.3376860571243991,0.16096195341628355,0.02889006647253313,0.6083916083916084,0.6796875,0.545880149812734,128,36,2,0.25
4.934706167299417,0.6781657446624461,0.8870174846362935,1.689996211571654,-0.08750672757995459,0.5248635935174017,0.21853480414674822,0.030776915925379823,0.622568093385214,0.7643312101910829,0.5795019157088123,32,60,2,0.25
6.918414841384207,0.6781657446624461,0.9030421182948276,1.8853121305298062,-0.1257396610352366,0.47898812280015235,0.2032897059567319,0.03193871238767201,0.6170212765957447,0.7388535031847133,0.5670498084291188,64,60,2,0.25
9.771481384676763,0.6781657446624461,0.8415345571406372,2.1304367991958415,-0.185934643690151,0.39500564271997385,0.14754262746123611,0.026194186916121694,0.6191117092866757,0.732484076433121,0.5680076628352491,128,60,2,0.25
6.888546896507897,0.6361514499216313,0.8098398955481962,2.6395726059918063,-0.3252568463255032,0.3068072057233307,0.13055626476477192,0.028717728334475452,0.6104252400548696,0.6856702619414484,0.5531135531135531,32,12,4,0.25
9.627890635831715,0.6361514499216313,0.5381825367667094,3.123384329470344,-0.5651868017355228,0.17230749725185854,0.052532252928132815,0.013673201298958552,0.6110283159463488,0.6317411402157165,0.5421245421245421,64,12,4,0.25
13.536704572968107,0.6361514499216313,0.22469055295905505,3.4186109942186023,-0.7596328707637099,0.06572568605759514,-0.028677758831406344,-0.008169841802549607,0.602760736196319,0.6055469953775039,0.5283882783882784,128,12,4,0.25
6.849156536303792,0.6724513096819876,0.9242422722021573,1.885755562224466,-0.11377744309783022,0.49011774946690706,0.2286949370859045,0.0359385624718599,0.6113256113256114,0.7421875,0.5627340823970037,32,36,4,0.25
9.574357326818683,0.6724513096819876,0.9607960890767973,1.9789281288487268,-0.15431062825813502,0.48551338225494617,0.2532315539729936,0.041760587105769305,0.6146540027137042,0.7078125,0.5589887640449438,64,36,4,0.25
13.502793595900522,0.6724513096819876,0.7786834738948387,2.1883365833343507,-0.233567991884011,0.3558335037786395,0.16205311824373955,0.02955223059134854,0.6115007012622721,0.68125,0.549625468164794,128,36,4,0.25
6.890216353299507,0.6781657446624461,0.8630636409598134,1.7443936704239333,-0.10039272969844304,0.49476425854610345,0.179362532580084,0.026073238878658762,0.6094364351245085,0.7404458598726115,0.5584291187739464,32,60,4,0.25
9.625744812252556,0.6781657446624461,0.9058277669184074,1.877980146285442,-0.13285271441520585,0.48234150329549164,0.1888664862585319,0.029557292624351257,0.620457604306864,0.7340764331210191,0.5699233716475096,64,60,4,0.25
13.598962517752716,0.6781657446624461,0.7082785544753829,2.1039058192221334,-0.22057941000837022,0.3366493632957635,0.08580262362788066,0.01504338659626872,0.6082191780821918,0.7070063694267515,0.5498084291187739,128,60,4,0.25
